ticker,pe_ratio,eps_growth_12m,revenue_growth_yoy,momentum_3m,volatility_3m,avg_volume_10d,sentiment_score,debt_equity,roe,peg_ratio,market_cap,consensus_score,analyst_rating_trend,value_score,growth_score,risk_score,analyst_score,momentum_score,composite_score
AAPL,26.3,0.12,0.08,0.15,0.18,12500000,0.76,1.2,0.34,1.8,2900000000000,0.82,0.05,0.605532748271358,0.03272911735232644,0.2804548254632403,0.7676399062928329,0.43468176560638544,0.39600468228345187
MSFT,34.2,0.18,0.15,0.22,0.15,15700000,0.81,0.8,0.38,2.1,2700000000000,0.86,0.07,0.4213465782971681,0.5802008877243873,0.6940445213312114,1.1429018905741346,0.9101149467383697,0.6971482963685067
AMZN,62.8,0.09,0.12,0.05,0.25,8500000,0.65,1.5,0.21,3.2,1600000000000,0.73,0.02,-1.0674318292830345,0.06332704951061899,-0.2732757893860556,0.0825924114007913,-0.24450849315359188,-0.3299687650832351
GOOG,27.1,0.15,0.11,0.12,0.17,9200000,0.72,0.5,0.32,1.9,1800000000000,0.79,0.04,0.49680080465030013,0.2861760813820686,0.7863340653310634,0.5392907413288193,0.23092468797839222,0.4685433489703866
NVDA,45.3,0.35,0.42,0.48,0.32,22300000,0.88,0.3,0.55,1.3,2200000000000,0.92,0.1,0.9438045598429557,2.422178773685357,0.1471536167077354,1.7057948669960874,2.6760096195143106,1.528197229700185
TSLA,58.7,0.07,-0.03,-0.12,0.45,18500000,0.52,1.8,0.18,3.8,800000000000,0.56,-0.08,-1.296549327823733,-0.633149543239369,-1.4935323954623259,-1.6715629915356272,-1.3991319330455534,-1.2417354355454175
META,22.5,0.22,0.18,0.25,0.28,14200000,0.68,0.7,0.28,1.2,1100000000000,0.75,0.06,0.7697746301157554,0.8775523307848005,0.09246253150044276,0.5888073430232159,1.1138720243663627,0.6857261516336643
JPM,12.8,0.08,0.05,0.11,0.12,7800000,0.62,2.5,0.15,1.6,520000000000,0.71,0.03,0.48037448035767927,-0.26462232570808675,-0.2561898121211392,0.10735071224798959,0.16300566210239453,0.043253532390727906
V,28.6,0.11,0.09,0.14,0.11,6500000,0.73,1.1,0.25,2.2,480000000000,0.83,0.05,0.16387064408342278,0.02940248063423183,0.7042974375201245,0.808358079116196,0.3667627397303878,0.3654458915104261
WMT,18.4,0.05,0.03,0.08,0.08,5700000,0.59,1.3,0.12,2.5,420000000000,0.68,0.01,-0.07506603977217081,-0.4774914474252526,0.7282231250108607,-0.22719309920994854,-0.040751415525598675,-0.0326864240075158
KO,22.3,0.04,0.02,0.05,0.07,4800000,0.61,1.7,0.14,2.8,280000000000,0.72,0.02,-0.22578772616111517,-0.5619737687685,0.5197183495204203,0.04187423857742815,-0.24450849315359188,-0.1233918420147443
PG,23.7,0.06,0.04,0.07,0.09,5200000,0.64,1.4,0.18,2.6,350000000000,0.74,0.03,-0.07232357936352592,-0.3930091260820052,0.6120078935202724,0.229505230718079,-0.10867044140159639,0.0241936207401441
INTC,15.2,-0.12,-0.08,-0.15,0.22,12100000,0.48,2.1,0.08,3.5,160000000000,0.54,-0.06,-0.508505082263533,-1.6702238563850003,-0.5091261074801425,-1.540610044194504,-1.6028890106735465,-1.1180323143883695
AMD,32.5,0.28,0.32,0.18,0.35,16800000,0.75,0.6,0.31,1.9,220000000000,0.81,0.08,0.35566702001309114,1.7090689973448963,-0.20149207776402978,1.045505672951244,0.6384388432343786,0.7284772662145342
T,8.1,-0.05,-0.07,-0.09,0.18,9300000,0.42,3.2,0.05,4.1,130000000000,0.47,-0.05,-0.673622840359705,-1.3223146608577268,-1.0184252024608758,-1.7194426074641216,-1.19537485541756,-1.1398920352287853
VZ,8.5,-0.03,-0.04,-0.07,0.15,8700000,0.45,2.8,0.07,3.8,140000000000,0.51,-0.03,-0.5108971079263356,-1.1127721758586555,-0.6048355065929045,-1.3441806231828197,-1.0595368036655648,-0.8874420362920863
DIS,21.8,0.02,0.01,-0.03,0.2,7200000,0.55,1.9,0.11,2.9,190000000000,0.62,0.01,-0.3327207007599398,-0.6903605691424184,-0.2766956444989656,-0.47150213615012737,-0.7878607001615738,-0.5000138718221379
NFLX,42.1,0.25,0.18,0.22,0.28,10500000,0.71,0.9,0.35,2.3,250000000000,0.77,0.06,0.09541748795860865,1.0092657678768135,-0.03742547129196894,0.6702436886699421,0.9101149467383697,0.5057395150117086
XOM,11.2,0.15,0.08,0.04,0.19,8100000,0.58,1.5,0.13,2.1,420000000000,0.64,0.02,0.26365495911199827,0.16444255444433947,0.034351591180240205,-0.2838711440094765,-0.31242751902958965,0.02444989716927256
CVX,10.8,0.12,0.06,0.02,0.17,7500000,0.56,1.6,0.12,2.3,310000000000,0.62,0.01,0.16666032101075146,-0.048426567272826376,0.07195004997279957,-0.47150213615012737,-0.4482655707815851,-0.09401670761071568
