ticker,sector,pe_ratio,eps_growth_12m,revenue_growth_yoy,momentum_3m,volatility,volatility_3m,market_cap,price_to_book,price_to_sales,forward_pe,dividend_yield,price_vs_sma_50,price_vs_sma_200,rsi,earnings_beat_rate,consensus_score,composite_score,value_score,growth_score,risk_score,analyst_score,momentum_score,debt_equity,peg_ratio,roe,ev_to_ebitda,analyst_rating_trend,current_price,daily_change,daily_change_percent,weekly_change,weekly_change_percent,monthly_change,monthly_change_percent,target_high,target_low,target_mean,target_median,price_to_target,eps_actual,eps_estimate,eps_surprise_percent,analyst_count,strong_buy,buy,hold,sell,strong_sell
AAPL,Technology,26.3,0.12,0.08,0.15,0.18,0.18,2900000000000.0,32.5,7.8,25.1,0.005,2.5,15.2,58,85,0.75,0.82,0.68,0.72,0.65,0.85,0.75,1.2,2.1,145.2,20.5,Up,100.0,0.0,0.0,0.0,0.0,0.0,0.0,125,90,110,105,10.0,1.52,1.43,6.3,42,15,18,8,1,0
MSFT,Technology,34.2,0.18,0.15,0.22,0.15,0.15,2700000000000.0,12.8,11.2,32.6,0.008,1.8,22.1,62,92,0.82,0.75,0.62,0.78,0.72,0.88,0.82,0.5,1.8,42.5,21.8,Up,100.0,0.0,0.0,0.0,0.0,0.0,0.0,430,350,390,385,15.0,2.35,2.28,3.1,38,18,15,4,1,0
AMZN,Technology,62.8,0.09,0.12,0.05,0.25,0.25,1600000000000.0,15.3,2.6,58.2,0.0,-0.3,8.7,43,75,0.65,0.58,0.45,0.62,0.52,0.72,0.55,0.8,6.5,25.3,35.2,Stable,100.0,0.0,0.0,0.0,0.0,0.0,0.0,180,140,160,155,5.0,0.65,0.58,12.1,45,10,20,12,2,1
GOOG,Technology,27.1,0.15,0.11,0.12,0.17,0.17,1800000000000.0,6.1,5.9,24.8,0.0,1.1,16.2,55,88,0.72,0.62,0.58,0.68,0.65,0.78,0.68,0.3,1.7,28.6,15.6,Up,100.0,0.0,0.0,0.0,0.0,0.0,0.0,190,150,170,165,8.0,1.44,1.35,6.7,36,14,12,8,2,0
NVDA,Technology,45.3,0.35,0.42,0.48,0.32,0.32,2200000000000.0,28.4,25.3,39.7,0.001,12.5,85.3,72,95,0.88,0.9,0.72,0.95,0.65,0.92,0.95,0.2,1.3,50.2,62.8,Up,100.0,0.0,0.0,0.0,0.0,0.0,0.0,120,80,100,95,20.0,4.02,3.85,4.4,40,22,12,4,2,0
TSLA,Technology,58.7,0.07,-0.03,-0.12,0.45,0.45,800000000000.0,22.7,8.1,53.2,0.0,-3.2,-8.5,38,62,0.45,-0.32,-0.25,-0.15,-0.45,-0.25,-0.65,1.5,7.8,22.5,42.5,Down,100.0,0.0,0.0,0.0,0.0,0.0,0.0,180,120,150,145,-5.0,0.91,0.98,-7.1,44,8,12,14,6,4
META,Technology,22.5,0.22,0.18,0.25,0.28,0.28,1100000000000.0,6.2,6.3,18.9,0.0,4.1,42.8,67,78,0.68,0.65,0.55,0.75,0.62,0.78,0.82,0.4,1.0,28.1,12.5,Up,100.0,0.0,0.0,0.0,0.0,0.0,0.0,480,350,410,405,12.0,3.85,3.65,5.5,35,12,15,7,1,0
JPM,Technology,12.8,0.08,0.05,0.11,0.12,0.12,520000000000.0,1.8,3.2,11.5,0.03,0.5,12.5,52,82,0.58,0.48,0.65,0.55,0.68,0.52,0.45,2.5,1.6,15.8,10.2,Stable,100.0,0.0,0.0,0.0,0.0,0.0,0.0,205,160,180,175,7.0,3.12,2.95,5.8,28,5,10,10,2,1
V,Technology,28.6,0.11,0.09,0.14,0.11,0.11,480000000000.0,11.4,16.5,25.3,0.007,1.3,18.2,56,90,0.76,0.52,0.52,0.65,0.72,0.62,0.58,1.1,2.5,42.6,25.7,Stable,100.0,0.0,0.0,0.0,0.0,0.0,0.0,290,230,260,255,9.0,1.98,1.9,4.2,32,10,15,6,1,0
WMT,Technology,18.4,0.05,0.03,0.08,0.08,0.08,420000000000.0,4.9,0.7,17.2,0.014,0.7,5.3,51,70,0.62,0.35,0.58,0.42,0.58,0.52,0.48,0.9,3.2,22.7,12.1,Down,100.0,0.0,0.0,0.0,0.0,0.0,0.0,180,150,165,160,6.0,1.77,1.65,7.3,25,6,8,9,2,0
